name,category,material,visible_feature
Left_Side_Fastener_09,side_fastener,PortBlack,independent left-side mounting fastener relief
Left_Side_Fastener_10,side_fastener,FastenerMetal,independent left-side mounting fastener relief
Right_Side_Fastener_01,side_fastener,FastenerMetal,independent right-side mounting fastener relief
Right_Side_Fastener_02,side_fastener,FastenerMetal,independent right-side mounting fastener relief
Right_Side_Fastener_03,side_fastener,PortBlack,independent right-side mounting fastener relief
Right_Side_Fastener_04,side_fastener,FastenerMetal,independent right-side mounting fastener relief
Right_Side_Fastener_05,side_fastener,FastenerMetal,independent right-side mounting fastener relief
Right_Side_Fastener_06,side_fastener,PortBlack,independent right-side mounting fastener relief
Right_Side_Fastener_07,side_fastener,FastenerMetal,independent right-side mounting fastener relief
Right_Side_Fastener_08,side_fastener,FastenerMetal,independent right-side mounting fastener relief
Right_Side_Fastener_09,side_fastener,PortBlack,independent right-side mounting fastener relief
Right_Side_Fastener_10,side_fastener,FastenerMetal,independent right-side mounting fastener relief
Left_Vent_Hole_1_1,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_1_2,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_1_3,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_1_4,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_1_5,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_2_1,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_2_2,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_2_3,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_2_4,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_2_5,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_3_1,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_3_2,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_3_3,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_3_4,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_3_5,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_4_1,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_4_2,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_4_3,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_4_4,side_vent,PortBlack,left-only power-side perforated vent relief
Left_Vent_Hole_4_5,side_vent,PortBlack,left-only power-side perforated vent relief
Right_Equipotential_Oval_Plate,equipotential,ChassisDark,right-only raised equipotential junction plate
Right_Equipotential_Stud_1,equipotential,FastenerMetal,right-only equipotential stud
Right_Equipotential_Stud_2,equipotential,FastenerMetal,right-only equipotential stud
Left_Rear_U_Bracket_Top_Arm,rack_ear,BracketZinc,independent power-side U-bracket top arm
Left_Rear_U_Bracket_Bottom_Arm,rack_ear,BracketZinc,independent power-side U-bracket bottom arm
Left_Rear_U_Bracket_Crossbar,rack_ear,BracketZinc,independent U-bracket rear crossbar defining 457.9 mm overall depth
Left_Rear_U_Bracket_Mount_Block,rack_ear,BracketZinc,separate bracket attachment block at power side
Right_Rear_U_Bracket_Top_Arm,rack_ear,BracketZinc,independent power-side U-bracket top arm
Right_Rear_U_Bracket_Bottom_Arm,rack_ear,BracketZinc,independent power-side U-bracket bottom arm
Right_Rear_U_Bracket_Crossbar,rack_ear,BracketZinc,independent U-bracket rear crossbar defining 457.9 mm overall depth
Right_Rear_U_Bracket_Mount_Block,rack_ear,BracketZinc,separate bracket attachment block at power side
Bottom_Stamped_RearLeft,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_RearLeft_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Stamped_RearRight,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_RearRight_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Stamped_LongRightA,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_LongRightA_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Stamped_LongRightB,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_LongRightB_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Stamped_SmallFrontLeft,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_SmallFrontLeft_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Stamped_SmallFrontMidA,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_SmallFrontMidA_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Stamped_SmallFrontMidB,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_SmallFrontMidB_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Stamped_CenterRail,bottom_stamping,BottomZinc,separate uncapped stamped underside wall relief
Bottom_Stamped_CenterRail_PhotoSurface,bottom_stamping,Face_bottom_SourceLocked_standard,source-locked exact bottom image on independent stamped relief
Bottom_Fastener_01,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_02,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_03,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_04,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_05,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_06,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_07,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_08,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_09,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_10,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_11,bottom_fastener,FastenerMetal,independent underside fastener relief
Bottom_Fastener_12,bottom_fastener,FastenerMetal,independent underside fastener relief
